target,Gold2000,Silver2000,Bronze2000,Total2000,Population,Athletes,Total1996,Log1996,Log.population,Log.GDP,Log.athletes
7567100.0,39.0,25.0,33.0,97.0,274028.0,664.0,101.0,4.615120517,12.52098557,15.83932046,6.498282149
356030.0,32.0,28.0,28.0,88.0,147434.0,468.0,63.0,4.143134726,11.9011359,12.78277028,6.148468296
906079.0,28.0,16.0,15.0,59.0,1255698.0,295.0,50.0,3.912023005,14.04320215,13.71688178,5.686975356
367802.0,16.0,25.0,17.0,58.0,18520.0,655.0,41.0,3.713572067,9.826606508,12.81530003,6.484635236
2364632.0,14.0,17.0,26.0,57.0,82133.0,497.0,65.0,4.17438727,11.31609516,14.67613297,6.208590026
1533619.0,13.0,14.0,11.0,38.0,58683.0,359.0,37.0,3.610917913,10.97990536,14.24314086,5.883322388
1140484.0,14.0,8.0,13.0,35.0,57369.0,413.0,35.0,3.555348061,10.95725937,13.94696329,6.023447593
18600.0,11.0,11.0,7.0,29.0,11116.0,245.0,25.0,3.218875825,9.316140791,9.83091686,5.501258211
1152136.0,11.0,10.0,7.0,28.0,58649.0,355.0,15.0,2.708050201,10.9793258,13.95712817,5.872117789
483130.0,8.0,9.0,11.0,28.0,23348.0,292.0,27.0,3.295836866,10.05826661,13.08804105,5.676753802
36191.0,11.0,6.0,9.0,26.0,22474.0,169.0,20.0,2.995732274,10.02011436,10.49656575,5.129898715
402565.0,12.0,9.0,4.0,25.0,15678.0,254.0,19.0,2.944438979,9.660013735,12.90561185,5.537334267
60904.0,3.0,10.0,10.0,23.0,50861.0,248.0,23.0,3.135494216,10.8368517,11.01705413,5.513428746
5149185.0,5.0,8.0,5.0,18.0,126281.0,286.0,14.0,2.63905733,11.74626486,15.45434901,5.655991811
44274.0,8.0,6.0,3.0,17.0,10116.0,204.0,21.0,3.044522438,9.221873608,10.69815288,5.318119994
22452.0,3.0,3.0,11.0,17.0,10315.0,156.0,15.0,2.708050201,9.241354426,10.01913498,5.049856007
124682.0,6.0,5.0,3.0,14.0,38718.0,205.0,17.0,2.833213344,10.56405989,11.73352177,5.323009979
569899.0,3.0,3.0,8.0,14.0,30563.0,332.0,22.0,3.091042453,10.32754541,13.25321443,5.805134969
9924.0,5.0,6.0,2.0,13.0,8336.0,98.0,15.0,2.708050201,9.028338764,9.202711345,4.584967479
120021.0,4.0,6.0,3.0,13.0,10600.0,166.0,8.0,2.079441542,9.26860928,11.69542201,5.111987788
227315.0,4.0,5.0,3.0,12.0,8875.0,164.0,8.0,2.079441542,9.090993614,12.334092,5.099866428
709591.0,0.0,6.0,6.0,12.0,165851.0,206.0,15.0,2.708050201,12.01884507,13.47244403,5.327876169
563249.0,3.0,3.0,5.0,11.0,39628.0,354.0,17.0,2.833213344,10.58729122,13.24147708,5.869296913
151198.0,4.0,3.0,3.0,10.0,4419.0,110.0,7.0,1.945910149,8.393668705,11.92634552,4.700480366
313729.0,1.0,6.0,2.0,9.0,7299.0,115.0,7.0,1.945910149,8.895492631,12.65628483,4.744932128
6042.0,4.0,1.0,3.0,8.0,59649.0,31.0,3.0,1.098612289,10.99623266,8.706490362,3.433987204
120800.0,2.0,3.0,3.0,8.0,10282.0,140.0,11.0,2.397895273,9.238150073,11.70189156,4.941642423
22213.0,3.0,4.0,0.0,7.0,16319.0,135.0,11.0,2.397895273,9.700085352,10.00843298,4.905274778
8661.0,2.0,3.0,2.0,7.0,29008.0,58.0,8.0,2.079441542,10.27532693,9.066585468,4.060443011
8800.0,0.0,4.0,3.0,7.0,2538.0,53.0,6.0,1.791759469,7.839131648,9.082507,3.970291914
168917.0,2.0,3.0,1.0,6.0,5270.0,110.0,6.0,1.791759469,8.569785642,12.03716275,4.700480366
213384.0,1.0,3.0,2.0,6.0,206338.0,48.0,4.0,1.386294361,12.23727088,12.27084864,3.871201011
314718.0,1.0,2.0,3.0,6.0,95831.0,81.0,1.0,0.0,11.4703415,12.65943228,4.394449155
4590.0,0.0,0.0,6.0,6.0,5059.0,36.0,2.0,0.693147181,8.528924114,8.431635303,3.583518938
177530.0,3.0,0.0,2.0,5.0,64479.0,59.0,6.0,1.791759469,11.07409487,12.08689489,4.077537444
8455.0,2.0,0.0,3.0,5.0,3694.0,68.0,1.0,0.0,8.214465161,9.042513261,4.219507705
18206.0,1.0,3.0,1.0,5.0,5377.0,115.0,3.0,1.098612289,8.589885877,9.809506489,4.744932128
43726.0,1.0,1.0,3.0,5.0,30081.0,49.0,3.0,1.098612289,10.31164902,10.68569817,3.891820298
268633.0,0.0,2.0,3.0,5.0,10141.0,70.0,6.0,1.791759469,9.224341892,12.50110141,4.248495242
132455.0,0.0,2.0,3.0,5.0,39357.0,134.0,5.0,1.609437912,10.58042913,11.79399824,4.8978398
297953.0,0.0,1.0,4.0,5.0,6660.0,55.0,1.0,0.0,8.803874764,12.60469103,4.007333185
34936.0,0.0,1.0,4.0,5.0,27377.0,60.0,2.0,0.693147181,10.21745852,10.4612731,4.094344562
347600.0,3.0,0.0,1.0,4.0,65758.0,35.0,3.0,1.098612289,11.09373662,12.75880767,3.555348061
119086.0,2.0,1.0,1.0,4.0,5154.0,78.0,4.0,1.386294361,8.547528391,11.6876012,4.356708827
23490.0,1.0,1.0,2.0,4.0,23574.0,80.0,2.0,0.693147181,10.06789969,10.06433008,4.382026635
57135.0,1.0,0.0,3.0,4.0,3796.0,165.0,6.0,1.791759469,8.24170316,10.95317217,5.105945474
295131.0,0.0,2.0,2.0,4.0,36123.0,152.0,3.0,1.098612289,10.49468506,12.5951746,5.023880521
20867.0,0.0,1.0,3.0,4.0,46109.0,31.0,5.0,1.609437912,10.73876344,9.945924243,3.433987204
226510.0,2.0,1.0,0.0,3.0,8140.0,97.0,3.0,1.098612289,9.004545459,12.33054437,4.574710979
3642.0,2.0,0.0,1.0,3.0,7669.0,31.0,1.0,0.0,8.944941508,8.20028826,3.433987204
5730.0,1.0,1.0,1.0,3.0,2424.0,48.0,1.0,0.0,7.793174347,8.65347081,3.871201011
20039.0,1.0,1.0,1.0,3.0,10635.0,121.0,4.0,1.386294361,9.271905728,9.905435654,4.795790546
177476.0,1.0,0.0,2.0,3.0,60300.0,59.0,2.0,0.693147181,11.00708738,12.08659067,4.077537444
27599.0,0.0,3.0,0.0,3.0,106409.0,91.0,6.0,1.791759469,11.57504544,10.22553482,4.510859507
18390.0,2.0,0.0,0.0,2.0,1993.0,90.0,2.0,0.693147181,7.59739632,9.819562318,4.49980967
3391.0,1.0,1.0,0.0,2.0,296.0,28.0,1.0,0.0,5.690359454,8.128880142,3.33220451
181130.0,1.0,0.0,1.0,2.0,4784.0,113.0,2.0,0.693147181,8.473032296,12.10697028,4.727387819
5017.0,0.0,1.0,1.0,2.0,1283.0,23.0,2.0,0.693147181,7.156956365,8.520587424,3.135494216
2542.0,0.0,1.0,1.0,2.0,4378.0,34.0,2.0,0.693147181,8.384347278,7.840706452,3.526360525
9081.0,0.0,0.0,2.0,2.0,3841.0,7.0,1.0,0.0,8.253488028,9.113939598,1.945910149
100934.0,0.0,0.0,2.0,2.0,9869.0,85.0,2.0,0.693147181,9.19715381,11.52222212,4.442651256
1472.0,1.0,0.0,0.0,1.0,18880.0,5.0,1.0,0.0,9.84585844,7.294377299,1.609437912
73700.0,0.0,1.0,0.0,1.0,3681.0,78.0,4.0,1.386294361,8.210939733,11.20775808,4.356708827
2387.0,0.0,0.0,1.0,1.0,3536.0,28.0,2.0,0.693147181,8.170751424,7.777792626,3.33220451
90310.0,0.0,0.0,1.0,1.0,5984.0,40.0,1.0,0.0,8.69684452,11.41100348,3.688879454
357759.0,0.0,0.0,1.0,1.0,982223.0,78.0,1.0,0.0,13.79757365,12.78761485,4.356708827
